"GeneID","Symbol","Description"
"100038693","Tmem51os1","Tmem51 opposite strand 1"
"100038695","Gm10555","predicted gene 10555"
"100038699","Gm10754","predicted gene 10754"
"100038700","Gm14488","predicted gene 14488"
"100038701","5730424H11Rik","RIKEN cDNA 5730424H11 gene"
"100038702","Gm10730","predicted gene 10730"
"100038703","Gm13033","prostaglandin-endoperoxide synthase 2 pseudogene"
"100038706","Gm10637","predicted gene 10637"
"100038707","Gm10388","predicted gene 10388"
"100038708","Gm10855","predicted gene 10855"
"100038710","Gm10748","predicted gene 10748"
"100038711","Gm10309","predicted gene 10309"
"100038712","Gm10516","predicted gene 10516"
"100038713","Gm10432","predicted gene 10432"
"100038714","Gm15401","predicted gene 15401"
"100038716","Gm10623","predicted gene 10623"
"100038717","Gm10826","predicted gene 10826"
"100038720","Gm10425","predicted gene 10425"
"100038722","Gm10305","predicted gene 10305"
"100038723","Sox5it","SRY (sex determining region Y)-box 5, intronic transcript"
"100038725","Cep85l","centrosomal protein 85-like"
"100038726","G930009F23Rik","RIKEN cDNA G930009F23 gene"
"100038727","Gm10811","predicted gene 10811"
"100038728","Gm10373","predicted gene 10373"
"100038732","Gm11681","predicted gene 11681"
"100038734","Gm10845","predicted gene 10845"
"100038735","Gm10384","predicted gene 10384"
"100038737","Gm10403","predicted gene 10403"
"100038743","Gm13629","predicted gene 13629"
"100038746","Gm1976","predicted gene 1976"
"100038750","4921514A10Rik","RIKEN cDNA 4921514A10 gene"
"100038751","Gm9967","predicted gene 9967"
"100038752","Gm10825","predicted gene 10825"
"100038753","Gm10143","predicted gene 10143"
"100038755","Gm9917","predicted gene 9917"
"100038759","Gm17244","predicted gene, 17244"
"100038761","Unc45bos","unc-45 myosin chaperone B, opposite strand"
"100038830","Gm1972","UL16 binding protein 1 pseudogene"
"100038833","Gm12568","high mobility group box 1 pseudogene"
"100038847","Gm10406","predicted gene 10406"
"100038850","Trav9d-3","T cell receptor alpha variable 9D-3"
"100038854","Cstdc6","cystatin domain containing 6"
"100038859","Or10h1b","olfactory receptor family 10 subfamily H member 1B"
"100038860","Or10h1","olfactory receptor family 10 subfamily H member 1"
"100038862","Btnl1","butyrophilin-like 1"
"100038875","Rps23-ps1","ribosomal protein S23, pseudogene 1"
"100038882","Isg15","ISG15 ubiquitin-like modifier"
"100038909","Pira12","paired-Ig-like receptor A12"
"100038912","Ceacam-ps1","CEA cell adhesion molecule, pseudogene 1"
"100038914","Gm16387","predicted gene 16387"
"100038927","Defa30","defensin, alpha, 30"
"100038941","Vmn2r121","vomeronasal 2, receptor 121"
"100038947","Sirpb1c","signal-regulatory protein beta 1C"
"100038948","Mup9","major urinary protein 9"
"100038949","Gm1979","predicted gene 1979"
"100038953","Gm1980","predicted gene 1980"
