,Name,Term,ES,NES
79,4ZJQV2_9_count,Proton Motive Force-Driven Mitochondrial ATP Synthesis (GO:0042776),26625.86060304949,0.7356300621648073
80,4ZJQV2_13_count,Proton Motive Force-Driven ATP Synthesis (GO:0015986),26625.28088451076,0.7356140454661909
81,4ZJQV2_16_count,"Mitochondrial Electron Transport, NADH to Ubiquinone (GO:0006120)",26623.17379617426,0.7355558299761048
82,4ZJQV2_4_count,Proton Motive Force-Driven Mitochondrial ATP Synthesis (GO:0042776),26622.18592862386,0.7355285367712637
83,4ZJQV2_31_count,Proton Motive Force-Driven ATP Synthesis (GO:0015986),26622.035116941523,0.7355243700850144
84,4ZJQV2_15_count,Proton Motive Force-Driven ATP Synthesis (GO:0015986),26621.333062943682,0.7355049734527788
85,4ZJQV2_37_count,Oxidative Phosphorylation (GO:0006119),26620.8372787748,0.735491275726932
86,4ZJQV2_19_count,Oxidative Phosphorylation (GO:0006119),26617.642322708773,0.7354030041865485
87,4ZJQV2_24_count,Proton Motive Force-Driven Mitochondrial ATP Synthesis (GO:0042776),26615.811868759865,0.7353524316633802
88,4ZJQV2_14_count,Proton Motive Force-Driven ATP Synthesis (GO:0015986),26615.505905409365,0.735343978383995
89,4ZJQV2_28_count,Proton Motive Force-Driven Mitochondrial ATP Synthesis (GO:0042776),26614.552341818162,0.7353176329428341
90,4ZJQV2_36_count,Proton Motive Force-Driven Mitochondrial ATP Synthesis (GO:0042776),26613.548167319983,0.7352898892030342
91,4ZJQV2_11_count,Oxidative Phosphorylation (GO:0006119),26612.73990056278,0.735267558081659
92,4ZJQV2_6_count,Proton Motive Force-Driven ATP Synthesis (GO:0015986),26611.43395175091,0.7352314767988797
93,4ZJQV2_39_count,Proton Motive Force-Driven ATP Synthesis (GO:0015986),26610.70926562296,0.7352114548769858
94,4ZJQV2_33_count,Oxidative Phosphorylation (GO:0006119),26607.903548690614,0.735133937393058
95,4ZJQV2_3_count,Proton Motive Force-Driven ATP Synthesis (GO:0015986),26607.26436096816,0.7351162776557443
96,4ZJQV2_1_count,Proton Motive Force-Driven Mitochondrial ATP Synthesis (GO:0042776),26605.809313406604,0.7350760770123127
97,4ZJQV2_35_count,Oxidative Phosphorylation (GO:0006119),26605.556541958205,0.7350690933403454
98,4ZJQV2_13_count,Oxidative Phosphorylation (GO:0006119),26604.52929279463,0.735040712084343
99,4ZJQV2_29_count,Proton Motive Force-Driven Mitochondrial ATP Synthesis (GO:0042776),26604.14807118429,0.7350301795392699
100,4ZJQV2_18_count,"Mitochondrial Electron Transport, NADH to Ubiquinone (GO:0006120)",26603.981809089757,0.7350255859827738
101,4ZJQV2_5_count,Proton Motive Force-Driven Mitochondrial ATP Synthesis (GO:0042776),26603.32309731164,0.7350073868269414
102,4ZJQV2_12_count,Proton Motive Force-Driven ATP Synthesis (GO:0015986),26601.995542369696,0.7349707086012484
103,4ZJQV2_15_count,Oxidative Phosphorylation (GO:0006119),26601.509595437732,0.734957282662568
104,4ZJQV2_2_count,Proton Motive Force-Driven Mitochondrial ATP Synthesis (GO:0042776),26599.807433364007,0.7349102546392948
105,4ZJQV2_10_count,Proton Motive Force-Driven ATP Synthesis (GO:0015986),26598.40173436413,0.7348714174179152
106,4ZJQV2_31_count,Oxidative Phosphorylation (GO:0006119),26594.260983600696,0.7347570150785157
107,4ZJQV2_30_count,Proton Motive Force-Driven Mitochondrial ATP Synthesis (GO:0042776),26593.41120019982,0.7347335369184916
108,4ZJQV2_32_count,"Mitochondrial Electron Transport, NADH to Ubiquinone (GO:0006120)",26593.175525968683,0.7347270256153686
109,4ZJQV2_40_count,Proton Motive Force-Driven ATP Synthesis (GO:0015986),26591.39441495967,0.734677816358931
110,4ZJQV2_14_count,Oxidative Phosphorylation (GO:0006119),26590.931372775558,0.7346650232419025
111,4ZJQV2_25_count,Proton Motive Force-Driven Mitochondrial ATP Synthesis (GO:0042776),26585.8819206915,0.7345255149343262
112,4ZJQV2_39_count,Oxidative Phosphorylation (GO:0006119),26585.22080422904,0.7345072493409007
113,4ZJQV2_38_count,Proton Motive Force-Driven ATP Synthesis (GO:0015986),26585.080619036053,0.7345033762476036
